State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
17,101,Lawrence,Illinois,IL,15930,1991.25,3409.02,9621.72,2421.36,461.97,15165.36,653.1299999999999,0.0,15.93,223.02
17,103,Lee,Illinois,IL,35669,3138.8720000000003,8239.539,22079.111,4494.294,856.0559999999999,33493.191,1640.774,35.669000000000004,285.35200000000003,1426.76
17,105,Livingston,Illinois,IL,39186,3801.0419999999995,9718.128,23511.6,4937.436,1018.836,36678.096,2116.0440000000003,78.37200000000001,117.55799999999999,1097.2079999999999
17,107,Logan,Illinois,IL,30603,3213.315,6977.484,19065.668999999998,3825.375,734.472,28093.554,2111.607,61.206,244.824,550.854
17,109,McDonough,Illinois,IL,31966,5082.594,6872.69,20682.002,3612.1580000000004,799.15,29408.72,1374.5379999999998,31.966000000000005,895.0479999999999,575.388
17,111,McHenry,Illinois,IL,303990,13679.55,86637.15,190297.74,23407.23,3647.88,290310.45,2735.91,607.98,7599.75,30399.0
17,113,McLean,Illinois,IL,159013,14947.222,40866.341,102563.385,13039.065999999999,2385.195,141998.609,10335.845,159.013,4293.351000000001,4929.403
17,115,Macon,Illinois,IL,110167,14872.545,28092.585,64778.195999999996,14652.211000000001,2644.008,91218.276,16084.382,220.334,991.503,1322.004
17,117,Macoupin,Illinois,IL,49111,5058.433000000001,11688.418,29171.933999999997,6826.429,1424.219,48128.78,491.11,98.22200000000001,147.333,343.777
17,119,Madison,Illinois,IL,264309,28016.754,66077.25,161492.799,31452.771,5286.18,238406.718,20880.411,792.927,1850.1629999999998,5021.871
17,121,Marion,Illinois,IL,40144,5459.584,10076.144,23163.088000000003,5660.304,1244.4640000000002,37775.504,1605.76,80.288,281.008,401.44
17,123,Marshall,Illinois,IL,13217,1044.143,3066.3439999999996,7771.596,2035.4180000000001,343.64200000000005,13018.745,66.085,26.434,39.650999999999996,237.90600000000003
17,125,Mason,Illinois,IL,15741,1731.51,3777.84,9239.967,2298.186,425.00700000000006,15567.849000000002,47.223,47.223,47.223,94.446
17,127,Massac,Illinois,IL,15348,2025.9359999999997,3637.4759999999997,8978.58,2332.8959999999997,414.3960000000001,14242.944,936.2279999999998,15.348000000000003,30.696000000000005,168.82800000000003
17,129,Menard,Illinois,IL,12738,1082.73,3159.0240000000003,7757.441999999999,1579.5120000000002,254.76,12597.882000000001,63.69,25.476000000000003,25.476000000000003,114.64200000000001
17,131,Mercer,Illinois,IL,16912,1471.344,3991.232,10130.287999999999,2401.504,388.976,16725.968,84.56,16.912,33.824,236.768
17,133,Monroe,Illinois,IL,31040,1272.6399999999999,7604.8,19368.96,3538.56,527.68,30729.6,62.08,62.08,93.12,403.52
17,135,Montgomery,Illinois,IL,30396,3799.5,6991.08,18237.6,4255.44,911.88,28967.388,1185.444,60.79200000000001,91.18799999999999,334.35600000000005
17,137,Morgan,Illinois,IL,35722,4179.473999999999,8358.947999999999,21754.697999999997,4679.582,928.7719999999999,33221.46,1964.71,71.444,214.332,535.83
17,139,Moultrie,Illinois,IL,14510,1218.84,3569.46,8372.27,2205.52,362.75,14393.92,43.53,14.51,14.51,87.06
17,141,Ogle,Illinois,IL,54290,4343.2,13843.95,32845.45,6406.22,1194.38,53041.33,380.03,162.87,271.45,4126.04
17,143,Peoria,Illinois,IL,182328,24431.952,48681.575999999994,108302.832,21332.376,4011.2160000000003,143492.136,30813.431999999997,364.656,4193.544,4740.528
17,145,Perry,Illinois,IL,22815,3034.395,5133.375,14190.93,2920.32,570.375,20624.760000000002,1939.275,68.445,91.26,479.115
17,147,Piatt,Illinois,IL,16680,1017.48,4003.2,9991.32,2235.12,450.36,16463.16,66.72,0.0,66.72,116.76
17,149,Pike,Illinois,IL,17099,2137.375,3915.671,9917.42,2616.147,649.762,16722.822,256.485,17.099,51.297,102.594
17,151,Pope,Illinois,IL,4211,589.54,875.888,2505.545,699.0260000000001,130.541,3937.285,206.33900000000003,29.476999999999997,12.633,46.321000000000005
17,153,Pulaski,Illinois,IL,6794,1345.2120000000002,1875.1440000000002,3879.3740000000003,856.044,176.644,4592.744,2099.3459999999995,0.0,67.94,101.91
17,155,Putnam,Illinois,IL,6094,396.11,1425.996,3662.494,847.066,158.444,6002.59,42.658,18.282,24.375999999999998,231.572
17,157,Randolph,Illinois,IL,33122,3775.908,7286.84,20866.86,4074.0060000000003,861.172,29776.678000000004,3047.2239999999997,33.122,99.366,563.0740000000001
17,159,Richland,Illinois,IL,15798,1895.76,3807.3180000000007,9068.052,2480.2859999999996,426.54600000000005,15561.03,78.99,15.798000000000002,94.788,126.38400000000001
17,161,Rock Island,Illinois,IL,147808,17145.728,36508.576,88389.18400000001,18919.424000000003,3843.008,131696.92799999999,11529.024,443.42400000000004,1921.504,14780.8
17,163,St. Clair,Illinois,IL,260067,37709.715,71518.425,155780.133,28087.236,4681.206,176325.42599999998,76719.765,780.2009999999999,3120.8039999999996,6761.742000000001
17,165,Saline,Illinois,IL,26072,3910.8,6439.784000000001,14808.895999999999,4041.16,782.16,24585.896,1173.24,78.216,52.144000000000005,286.79200000000003
17,167,Sangamon,Illinois,IL,192789,19471.689,48197.25,118372.446,22170.735,4048.5690000000004,167340.85199999998,20050.056,385.57800000000003,2699.046,2313.468
17,169,Schuyler,Illinois,IL,7073,671.935,1584.3519999999999,4173.07,1103.388,212.19,6995.197000000001,56.584,0.0,14.146,56.584
17,171,Scott,Illinois,IL,5412,519.552,1293.4679999999998,3182.256,768.5039999999999,173.18400000000003,5384.94,0.0,10.824000000000002,10.824000000000002,10.824000000000002
17,173,Shelby,Illinois,IL,22322,2098.268,5424.246,12857.472,3370.6220000000003,647.338,22143.424,44.644000000000005,22.322000000000003,44.644000000000005,111.61
17,175,Stark,Illinois,IL,6169,567.548,1480.56,3497.8230000000003,968.5329999999999,222.084,6119.648,6.1690000000000005,6.1690000000000005,12.338000000000001,67.85900000000001
17,177,Stephenson,Illinois,IL,47965,4892.429999999999,11991.25,27579.875,6954.925,1390.985,42976.64,3789.235,95.93,431.685,1007.265
17,179,Tazewell,Illinois,IL,129999,10529.919,31069.760999999995,78909.39300000001,17159.868,2859.9780000000005,126749.025,1429.9890000000003,259.99800000000005,779.9939999999999,1689.987
17,181,Union,Illinois,IL,18202,2493.674,4222.864,10866.594000000001,2584.6839999999997,527.858,17765.152,182.02,91.01,72.808,637.07
17,183,Vermilion,Illinois,IL,82344,11528.16,20997.72,48006.552,11281.128,1976.256,71721.624,9222.527999999998,164.688,494.064,2799.696
17,185,Wabash,Illinois,IL,12570,1432.98,2979.09,7479.15,1696.95,414.81,12331.17,62.85,12.57,75.42,113.13
